DIRECTORIO,P6081_archivo1,P6083_archivo1,P6088_archivo1,P2061_archivo1,P1070_archivo3,P6160_archivo4,P8586_archivo4,P5010_archivo5,P791_archivo5,P3162_archivo5,P3163_archivo5,P5032_archivo5
7935533,3,2,3.0,2.0,1,1,2,2,1,1.0,40000.0,4
7935554,2,2,3.0,1.0,1,1,2,3,1,1.0,12000.0,4
7935567,2,2,1.0,2.0,1,1,2,2,1,1.0,30000.0,4
7935580,3,3,1.0,2.0,1,1,2,1,1,1.0,20000.0,4
7935585,2,2,2.0,2.0,1,1,2,4,1,1.0,35000.0,1
7935586,3,3,2.0,2.0,1,1,2,2,1,1.0,40000.0,4
7935589,3,3,1.0,1.0,1,1,2,3,1,1.0,42000.0,4
7935590,3,3,1.0,1.0,1,1,2,1,1,1.0,30000.0,4
7935599,2,2,2.0,2.0,1,1,2,1,3,,,4
7935607,2,2,10.0,2.0,1,1,2,2,1,,,4
7935627,2,2,1.0,2.0,1,1,2,1,3,,,4
7935657,2,2,2.0,1.0,1,1,2,2,1,1.0,13000.0,1
7935662,2,2,1.0,2.0,1,1,2,3,1,1.0,20000.0,1
7935680,3,3,9.0,2.0,1,1,2,1,1,,,1
7935687,2,2,1.0,2.0,1,1,2,2,1,1.0,21000.0,4
7935698,3,3,1.0,1.0,1,2,2,2,1,,,4
7935701,2,2,2.0,2.0,2,1,2,2,1,1.0,28200.0,1
7935706,1,3,10.0,2.0,2,1,2,2,1,1.0,90700.0,1
7935709,3,3,9.0,2.0,2,1,2,3,1,1.0,94000.0,1
7935710,2,2,9.0,1.0,4,1,2,1,3,,,4
7935712,3,3,10.0,1.0,1,1,2,1,3,,,3
7935713,3,3,9.0,2.0,1,1,2,2,1,1.0,43570.0,3
7935729,3,2,1.0,1.0,1,1,2,2,1,,,4
7935730,3,3,10.0,1.0,1,1,2,2,1,,,4
7935731,2,2,9.0,1.0,2,1,2,1,2,,,4
7935732,2,1,,2.0,1,1,2,2,1,1.0,16000.0,1
7935743,3,3,9.0,2.0,2,1,2,3,1,1.0,30000.0,1
7935747,3,2,2.0,2.0,2,1,2,2,1,1.0,32000.0,1
7935757,3,3,4.0,2.0,2,1,2,3,1,1.0,15000.0,1
7935783,2,2,3.0,1.0,1,1,2,2,3,,,3
7935788,2,2,4.0,2.0,1,1,2,1,1,1.0,11000.0,4
7935792,2,2,3.0,2.0,1,1,2,2,1,1.0,24000.0,4
7935800,2,2,2.0,1.0,1,1,2,2,1,,,4
7935804,2,2,2.0,1.0,1,1,2,2,1,,,4
7935819,2,2,2.0,1.0,1,1,2,1,1,,,4
7935823,3,3,9.0,2.0,2,1,2,2,1,1.0,45000.0,1
7935827,3,2,2.0,2.0,2,1,2,1,1,1.0,20000.0,1
7935831,3,2,10.0,1.0,1,1,2,2,3,,,4
7935848,3,3,9.0,2.0,2,1,2,3,1,1.0,60000.0,1
7935853,2,2,2.0,1.0,1,1,2,2,1,,,4
7935878,2,2,1.0,1.0,1,1,2,2,3,,,3
7935882,2,2,1.0,2.0,1,1,2,1,1,,,4
7935909,2,2,2.0,2.0,1,1,2,3,1,1.0,14000.0,1
7935913,3,3,10.0,1.0,1,2,2,1,1,,,4
7935924,3,3,9.0,1.0,1,2,2,3,3,1.0,36000.0,3
7935927,2,2,1.0,1.0,1,1,2,2,3,1.0,65000.0,3
7935929,2,2,10.0,1.0,1,1,2,2,1,,,4
7935932,2,3,9.0,1.0,1,1,2,1,3,1.0,23780.0,3
7935933,2,3,1.0,1.0,1,1,2,3,1,,,4
7935935,2,3,1.0,2.0,1,1,2,3,3,1.0,19004.0,3
7935938,3,3,2.0,1.0,1,2,2,2,1,,,4
7935940,3,3,1.0,1.0,1,1,2,1,3,1.0,28760.0,3
7935941,3,3,8.0,2.0,1,1,2,3,1,1.0,45000.0,1
7935945,3,3,2.0,2.0,1,1,2,1,1,1.0,6800.0,1
7935963,3,3,4.0,2.0,2,1,2,3,1,1.0,80000.0,1
7935967,2,2,8.0,2.0,2,1,2,2,1,1.0,20000.0,1
7936004,2,2,3.0,1.0,3,1,2,1,3,,,4
7936016,2,2,6.0,2.0,2,1,1,2,1,1.0,60000.0,1
7936022,3,3,9.0,1.0,1,2,2,1,1,,,4
7936029,2,2,4.0,2.0,2,1,2,2,1,1.0,38000.0,1
7936034,3,3,9.0,1.0,1,2,2,2,3,,,3
7936035,2,2,1.0,1.0,1,1,2,2,3,,,4
7936038,2,1,,2.0,2,1,2,3,1,1.0,45000.0,1
7936043,2,2,1.0,1.0,1,1,2,1,3,1.0,8000.0,1
7936057,2,2,2.0,2.0,2,1,2,1,1,1.0,25000.0,1
7936059,3,3,9.0,2.0,1,1,2,3,1,1.0,56500.0,1
7936061,2,2,2.0,2.0,1,1,2,2,3,,,3
7936063,2,2,1.0,2.0,1,1,2,2,1,1.0,8593.0,4
7936064,2,2,8.0,2.0,2,1,2,1,1,1.0,25000.0,1
7936066,3,2,10.0,2.0,1,1,2,2,3,,,1
7936069,2,2,8.0,2.0,2,1,2,1,1,1.0,10000.0,1
7936079,2,3,9.0,2.0,1,1,2,1,1,1.0,16761.0,1
7936084,2,3,10.0,2.0,1,1,2,2,1,1.0,25000.0,1
7936098,2,2,4.0,2.0,2,1,2,1,1,1.0,32000.0,1
7936113,2,2,6.0,2.0,2,1,2,1,1,1.0,36000.0,1
7936121,2,2,8.0,2.0,2,1,2,2,1,1.0,62000.0,1
7936143,3,3,1.0,2.0,1,1,2,2,1,1.0,33500.0,4
7936156,2,3,2.0,2.0,1,1,2,2,1,1.0,25000.0,1
7936159,2,2,4.0,2.0,2,1,2,3,1,1.0,30000.0,1
7936169,2,2,3.0,1.0,1,1,2,2,3,,,4
7936173,3,3,10.0,2.0,2,1,2,2,1,1.0,50000.0,1
7936177,2,2,3.0,1.0,2,1,2,2,1,,,1
7936180,2,2,9.0,2.0,2,1,2,2,1,1.0,16000.0,1
7936181,3,3,9.0,1.0,1,1,2,1,3,,,4
7936183,3,3,9.0,2.0,2,2,2,2,1,1.0,20056.0,1
7936184,2,2,1.0,2.0,2,1,2,2,1,1.0,12000.0,1
7936185,2,2,2.0,2.0,2,1,2,2,1,1.0,3824.0,1
7936191,2,2,4.0,2.0,2,1,2,3,1,1.0,24000.0,1
7936199,2,2,6.0,1.0,1,1,2,2,1,,,3
7936206,3,3,2.0,2.0,2,1,2,3,1,1.0,58400.0,1
7936219,2,2,2.0,1.0,1,1,2,1,3,,,4
7936220,2,2,4.0,2.0,1,1,2,1,1,1.0,118000.0,4
7936224,2,2,9.0,2.0,4,2,2,1,4,,,4
7936234,3,3,9.0,2.0,1,1,2,2,1,1.0,12000.0,4
7936239,3,2,2.0,2.0,1,1,2,2,1,1.0,25000.0,1
7936242,3,3,10.0,1.0,1,1,2,2,1,,,3
7936249,3,2,3.0,1.0,1,1,2,1,1,,,3
7936253,3,3,10.0,1.0,1,2,2,2,1,,,1
7936255,3,2,1.0,2.0,1,1,2,2,3,,,4
7936257,2,2,1.0,1.0,1,1,2,1,1,,,1
7936258,3,3,9.0,2.0,1,1,2,2,1,1.0,62052.0,1
7936260,2,2,2.0,1.0,1,1,2,1,3,,,4
7936262,2,2,1.0,2.0,1,1,2,2,1,1.0,14170.0,4
7936279,3,2,9.0,1.0,1,2,2,3,3,,,4
7936289,2,2,4.0,2.0,2,1,2,2,1,1.0,25000.0,1
7936292,2,2,4.0,1.0,2,1,2,2,1,1.0,35810.0,1
7936298,3,2,10.0,2.0,2,1,2,1,1,1.0,18000.0,1
7936301,2,2,9.0,1.0,2,1,2,2,1,1.0,15000.0,1
7936305,2,2,2.0,2.0,2,1,2,1,1,1.0,17610.0,1
7936307,2,2,10.0,1.0,1,1,2,2,3,,,4
7936317,2,2,1.0,1.0,1,1,2,1,3,,,4
7936322,3,3,9.0,1.0,1,1,2,3,1,,,3
7936334,3,2,10.0,2.0,2,1,2,2,1,1.0,60000.0,1
7936340,2,2,9.0,2.0,2,1,2,3,1,1.0,40000.0,1
7936347,3,3,9.0,1.0,1,1,2,1,1,,,3
7936350,2,2,2.0,2.0,1,1,2,2,2,2.0,,2
7936353,2,2,2.0,1.0,2,1,2,2,3,1.0,20000.0,4
7936355,2,2,2.0,2.0,1,1,2,1,1,1.0,10000.0,4
7936358,2,2,2.0,2.0,2,1,2,2,1,1.0,50000.0,1
7936361,2,2,9.0,2.0,2,1,2,2,1,1.0,30000.0,1
7936362,3,3,4.0,2.0,2,1,2,1,1,1.0,25000.0,1
7936364,2,2,1.0,1.0,1,1,2,1,1,,,4
7936365,2,2,9.0,2.0,1,1,2,1,1,1.0,47920.0,1
7936370,2,2,1.0,1.0,1,1,1,1,1,,,4
7936371,2,2,1.0,1.0,1,1,2,2,1,,,4
7936372,3,3,9.0,1.0,1,1,2,1,3,,,4
7936376,3,3,10.0,1.0,1,1,2,1,3,,,4
7936377,3,3,10.0,1.0,1,1,2,1,1,,,1
7936378,2,2,2.0,2.0,2,1,2,2,1,1.0,44815.0,1
7936391,3,3,10.0,1.0,1,1,2,2,1,,,3
7936395,2,2,1.0,2.0,2,1,2,2,1,1.0,22000.0,1
7936401,2,2,4.0,2.0,1,1,2,1,3,,,4
7936404,2,2,1.0,1.0,2,1,2,1,1,,,3
7936408,2,2,9.0,1.0,1,1,2,2,3,,,4
7936429,1,2,4.0,2.0,2,1,2,3,1,1.0,45000.0,1
7936432,3,1,,2.0,2,1,2,1,1,1.0,33000.0,1
7936433,2,2,4.0,2.0,2,1,2,2,1,1.0,35000.0,1
7936437,3,3,1.0,1.0,1,1,2,2,3,,,4
7936443,2,2,9.0,2.0,4,2,2,1,4,,,4
7936447,2,2,2.0,1.0,1,1,2,1,1,,,4
7936456,3,3,1.0,2.0,2,1,2,2,1,1.0,40000.0,1
7936462,3,3,1.0,1.0,2,2,2,3,1,,,3
7936466,3,3,10.0,1.0,1,1,2,1,3,,,4
7936471,2,3,9.0,1.0,1,1,2,1,3,,,4
7936473,2,1,,2.0,2,1,2,2,1,1.0,11000.0,1
7936480,3,3,9.0,1.0,1,2,2,2,1,,,4
7936493,2,2,3.0,2.0,2,1,2,2,1,1.0,20000.0,3
7936503,3,3,9.0,2.0,1,2,2,1,1,,,4
7936504,2,2,4.0,2.0,2,1,2,1,1,1.0,18000.0,1
7936509,3,3,9.0,1.0,1,1,2,2,3,,,4
7936513,3,2,10.0,1.0,1,1,2,2,3,,,3
7936518,3,2,1.0,1.0,1,1,2,2,1,,,3
7936522,3,2,2.0,2.0,3,1,2,1,3,,,3
7936527,2,2,9.0,2.0,4,1,2,1,4,,,4
7936528,2,2,8.0,2.0,2,1,2,1,1,1.0,35000.0,1
7936544,3,2,1.0,2.0,1,1,2,2,1,1.0,50000.0,1
7936551,3,3,1.0,2.0,2,1,2,1,1,1.0,8760.0,1
7936553,3,2,1.0,2.0,1,1,2,2,1,1.0,50000.0,1
7936564,3,2,9.0,1.0,1,2,2,4,3,,,4
7936577,3,3,9.0,2.0,1,2,2,2,3,,,4
7936582,2,2,6.0,1.0,1,1,2,2,1,,,4
7936597,3,3,10.0,1.0,1,1,2,1,1,,,3
7936608,3,3,9.0,1.0,1,2,2,1,3,,,4
7936617,2,2,1.0,1.0,1,1,2,2,1,,,3
7936625,2,3,9.0,1.0,1,1,2,2,3,,,4
7936626,3,3,1.0,1.0,1,1,2,2,3,,,4
7936629,3,2,1.0,2.0,1,1,2,2,3,1.0,67000.0,3
7936631,2,2,10.0,1.0,1,1,2,3,1,,,3
7936640,3,3,9.0,1.0,1,1,2,2,1,,,3
7936644,3,3,5.0,2.0,2,1,2,2,1,1.0,51000.0,1
7936646,2,1,,2.0,2,1,2,3,1,1.0,50000.0,1
7936652,2,2,2.0,2.0,2,1,2,2,1,1.0,30000.0,4
7936662,2,2,9.0,1.0,2,1,2,3,1,1.0,15169.0,1
7936670,3,3,1.0,1.0,1,2,2,1,1,,,3
7936674,2,3,10.0,2.0,3,1,2,1,1,,,4
7936682,3,3,2.0,2.0,2,1,2,1,1,1.0,60000.0,1
7936695,2,2,4.0,2.0,1,1,2,3,1,1.0,11800.0,1
7936709,3,3,9.0,1.0,1,1,2,1,1,,,4
7936710,3,2,10.0,1.0,2,1,2,2,1,1.0,28000.0,3
7936717,2,2,8.0,2.0,2,1,2,2,1,1.0,50000.0,1
7936727,3,2,9.0,2.0,2,1,2,4,1,1.0,35000.0,1
7936729,3,3,2.0,2.0,2,1,2,1,1,1.0,70000.0,1
7936752,3,3,3.0,2.0,2,1,2,3,1,1.0,99.0,1
7936754,3,3,2.0,2.0,1,1,2,2,1,1.0,35000.0,3
7936774,2,2,2.0,2.0,2,1,2,2,1,1.0,12000.0,1
7936802,2,2,4.0,2.0,2,1,2,1,1,1.0,15000.0,1
7936808,3,3,3.0,1.0,1,1,2,1,1,1.0,11000.0,1
7936809,2,2,1.0,2.0,2,1,2,2,2,1.0,28000.0,2
7936813,2,3,10.0,2.0,2,1,2,1,3,1.0,7000.0,1
7936814,3,3,4.0,2.0,2,1,2,1,1,1.0,26000.0,1
7936838,3,3,1.0,2.0,1,1,2,2,1,1.0,28000.0,1
7936853,2,3,2.0,2.0,1,1,2,1,3,,,3
7936876,3,3,2.0,2.0,1,1,2,1,1,1.0,15000.0,1
7936888,3,2,2.0,2.0,1,1,2,2,1,1.0,7000.0,3
7936895,2,2,2.0,2.0,1,1,2,2,1,1.0,46000.0,1
7936898,3,2,9.0,2.0,2,1,2,2,1,1.0,70000.0,4
7936904,2,2,4.0,2.0,1,1,2,2,1,1.0,12000.0,1
7936917,3,2,9.0,2.0,1,1,2,1,1,1.0,48000.0,1
7936925,2,2,2.0,2.0,2,1,2,1,1,1.0,28721.0,1
7936957,3,2,9.0,2.0,4,2,2,1,4,,,4
7936976,2,2,1.0,1.0,4,1,2,1,4,,,4
7936977,2,2,9.0,2.0,4,2,2,2,4,,,4
7936979,2,1,,2.0,2,1,2,4,1,1.0,85000.0,1
7936987,2,2,4.0,2.0,2,1,2,3,1,1.0,80000.0,1
7936988,3,3,1.0,1.0,1,1,2,2,1,,,4
7936991,2,2,9.0,2.0,1,1,2,1,1,1.0,14000.0,4
7936996,2,2,8.0,2.0,1,1,2,2,1,1.0,10000.0,1
7936998,3,3,9.0,2.0,1,1,2,2,3,1.0,22800.0,4
7936999,3,3,9.0,1.0,1,1,2,1,3,,,4
7937002,3,3,9.0,1.0,1,1,2,1,1,1.0,18000.0,4
7937007,3,2,1.0,2.0,1,1,2,1,1,,,4
7937010,2,2,1.0,1.0,1,1,2,1,1,1.0,52000.0,4
7937015,2,2,3.0,2.0,1,1,2,2,3,1.0,30000.0,3
7937020,2,2,2.0,2.0,1,1,2,2,3,,,3
7937021,3,2,9.0,2.0,2,1,1,1,3,,,4
7937024,2,3,10.0,2.0,1,1,2,1,3,,,3
7937025,1,3,9.0,2.0,1,1,2,1,3,,,4
7937032,2,2,2.0,2.0,1,1,2,2,3,,,3
7937034,3,3,9.0,1.0,2,2,2,1,3,,,4
7937036,2,2,3.0,2.0,1,1,2,1,3,,,3
7937040,2,2,2.0,1.0,1,1,2,1,1,1.0,28000.0,4
7937042,2,2,4.0,2.0,1,1,2,2,3,,,3
7937043,3,2,2.0,2.0,1,1,2,1,3,,,3
7937051,3,3,2.0,2.0,2,1,2,3,1,1.0,75000.0,1
7937055,2,2,4.0,2.0,2,1,2,1,1,1.0,12300.0,1
7937062,3,3,9.0,1.0,1,1,2,2,1,,,4
7937067,3,3,9.0,2.0,1,1,2,2,1,1.0,15000.0,4
7937077,2,2,1.0,1.0,1,1,2,2,1,1.0,98300.0,4
7937079,3,3,10.0,1.0,1,1,2,1,1,1.0,43000.0,1
7937082,2,2,1.0,2.0,4,1,2,1,4,,,4
7937085,3,3,9.0,1.0,1,1,2,1,1,1.0,24000.0,4
7937091,3,3,10.0,1.0,1,1,2,1,1,,,4
7937102,3,3,10.0,1.0,4,2,2,1,4,,,4
7937107,2,2,9.0,1.0,1,1,2,1,1,1.0,40000.0,4
7937109,3,3,9.0,1.0,1,1,2,1,1,,,4
7937112,3,3,4.0,2.0,1,1,2,3,1,1.0,10000.0,1
7937123,2,2,1.0,1.0,4,1,2,1,4,,,4
7937136,3,3,9.0,2.0,1,1,2,3,3,1.0,53000.0,3
7937157,3,3,1.0,2.0,1,1,2,1,1,1.0,15000.0,4
7937161,2,2,10.0,2.0,2,1,2,2,1,1.0,20000.0,1
7937162,3,3,10.0,2.0,1,1,2,3,1,1.0,60000.0,1
7937175,3,3,2.0,2.0,2,1,2,3,1,1.0,85900.0,1
7937176,3,3,9.0,2.0,1,1,2,2,1,1.0,38656.0,4
7937180,3,3,3.0,2.0,1,1,2,1,1,1.0,68000.0,1
7937186,3,3,1.0,2.0,1,1,2,3,1,1.0,76000.0,1
7937188,3,2,9.0,1.0,1,1,2,2,1,,,4
7937190,3,3,2.0,2.0,1,1,2,2,1,1.0,29226.0,1
7937191,3,3,4.0,2.0,2,1,2,2,1,1.0,17327.0,1
7937193,3,3,1.0,2.0,1,1,2,3,1,1.0,30000.0,1
7937205,2,2,4.0,2.0,2,1,2,2,1,1.0,20000.0,1
7937210,1,1,,2.0,1,1,2,3,1,1.0,75000.0,1
7937214,2,2,3.0,2.0,2,1,2,1,1,1.0,35000.0,1
7937231,2,2,8.0,2.0,1,1,2,3,1,1.0,14000.0,1
7937234,3,2,9.0,2.0,3,1,2,1,3,,,3
7937241,2,2,4.0,2.0,2,1,2,2,1,,,4
7937248,3,3,9.0,1.0,1,1,2,2,3,,,4
7937250,2,2,9.0,2.0,4,2,2,1,4,,,4
7937253,3,3,2.0,2.0,2,1,2,1,1,1.0,60000.0,1
7937258,2,2,1.0,2.0,1,1,2,1,1,,,4
7937262,3,3,10.0,2.0,1,1,2,2,3,,,4
7937266,2,2,4.0,2.0,2,1,2,2,1,3.0,,3
7937271,3,2,4.0,2.0,1,1,2,2,3,1.0,20000.0,3
7937292,3,3,9.0,2.0,1,1,2,1,1,1.0,20000.0,4
7937302,2,2,10.0,1.0,1,1,2,1,3,,,4
7937304,2,2,10.0,1.0,1,1,2,1,3,,,4
7937310,2,2,9.0,1.0,1,2,2,2,3,,,4
7937316,3,3,9.0,2.0,1,1,2,1,1,1.0,28000.0,1
7937324,2,2,9.0,2.0,4,2,2,1,4,,,4
7937326,3,3,9.0,1.0,1,2,2,1,3,,,4
7937328,3,3,9.0,2.0,2,1,2,3,1,1.0,41000.0,1
7937331,2,2,1.0,2.0,4,1,2,1,4,,,4
7937332,3,3,1.0,2.0,1,1,2,1,1,1.0,15000.0,4
7937339,2,2,1.0,1.0,1,1,2,1,1,,,4
7937380,3,2,10.0,2.0,1,1,2,2,3,2.0,,1
7937383,2,2,8.0,2.0,2,1,2,3,1,1.0,20000.0,1
7937389,3,2,4.0,2.0,2,1,2,2,1,1.0,18000.0,1
7937395,2,2,9.0,1.0,1,1,2,2,1,,,4
7937402,3,3,9.0,1.0,1,1,2,2,1,,,4
7937412,2,2,4.0,2.0,2,1,2,3,1,1.0,40000.0,1
7937461,2,2,10.0,2.0,1,1,2,2,1,1.0,72861.0,1
7937476,2,2,9.0,2.0,2,1,2,1,2,2.0,,2
7937482,2,2,4.0,2.0,1,1,2,2,2,2.0,,2
7937501,3,3,10.0,2.0,1,2,2,1,1,1.0,36000.0,1
7937509,3,3,10.0,2.0,1,1,2,1,1,1.0,14000.0,1
7937511,3,2,4.0,2.0,1,1,2,2,1,1.0,53600.0,1
7937521,3,3,1.0,2.0,2,1,2,2,1,1.0,60000.0,1
7937526,3,2,9.0,2.0,2,1,2,1,1,1.0,55000.0,1
7937540,2,3,2.0,1.0,1,1,2,2,3,,,4
7937546,3,2,2.0,1.0,1,1,2,2,1,1.0,30000.0,1
7937549,2,2,2.0,1.0,2,1,2,2,1,1.0,15000.0,1
7937550,2,3,9.0,2.0,1,1,2,2,1,1.0,21500.0,1
7937563,3,3,9.0,2.0,1,2,2,2,1,1.0,35000.0,1
7937566,2,2,1.0,2.0,1,1,2,1,1,1.0,33000.0,1
7937571,2,2,1.0,2.0,1,1,2,1,1,1.0,16000.0,1
7937572,3,3,2.0,1.0,1,1,2,1,1,1.0,12000.0,1
7937583,2,2,2.0,2.0,1,1,2,1,1,1.0,30000.0,1
7937584,3,3,10.0,2.0,2,1,2,1,4,,,3
7937592,2,2,1.0,2.0,1,1,2,2,1,1.0,17000.0,1
7937597,2,2,2.0,1.0,1,1,2,1,1,1.0,26800.0,1
7937606,3,3,2.0,2.0,1,1,2,3,1,1.0,40000.0,1
7937613,2,2,10.0,2.0,2,1,2,2,1,1.0,50000.0,1
7937617,2,2,1.0,2.0,1,1,2,1,1,1.0,23000.0,1
7937676,2,2,9.0,2.0,4,2,2,1,4,,,4
7937686,3,3,9.0,1.0,1,1,2,1,3,,,4
7937691,3,3,2.0,2.0,1,1,2,2,1,1.0,13770.0,4
7937693,2,2,1.0,1.0,4,1,2,1,4,,,4
7937702,3,2,10.0,2.0,1,1,2,1,1,1.0,89000.0,3
7937704,2,2,1.0,9.0,1,1,2,1,1,1.0,120000.0,4
7937715,3,3,9.0,1.0,1,2,2,2,1,1.0,15000.0,1
7937720,3,2,2.0,2.0,1,1,2,2,1,1.0,40000.0,1
7937721,3,2,1.0,1.0,1,1,2,1,1,1.0,33180.0,4
7937728,1,2,1.0,2.0,2,1,2,2,1,1.0,82479.0,1
7937729,2,2,2.0,1.0,1,1,2,1,1,,,4
7937733,2,2,1.0,2.0,2,1,2,1,3,3.0,,3
7937735,3,3,1.0,2.0,1,1,2,1,1,,,4
7937741,2,2,1.0,2.0,2,1,2,2,3,1.0,11000.0,3
7937745,1,3,2.0,2.0,1,1,2,1,1,,,1
7937747,3,3,2.0,2.0,1,1,2,2,1,1.0,20000.0,4
7937748,3,2,6.0,2.0,2,1,2,3,1,1.0,100000.0,1
7937755,2,2,2.0,1.0,1,1,2,1,1,,,4
7937762,2,2,9.0,1.0,2,1,2,2,1,1.0,30000.0,1
7937772,3,3,5.0,2.0,2,1,2,2,1,1.0,40000.0,1
7937779,3,3,9.0,9.0,1,1,2,1,1,1.0,6000.0,4
7937785,3,3,9.0,1.0,1,1,2,1,3,,,4
7937788,2,2,9.0,2.0,1,2,2,1,1,,,4
7937790,2,2,6.0,2.0,2,1,2,1,1,1.0,6000.0,1
7937792,3,3,9.0,1.0,1,1,2,1,3,,,4
7937793,2,2,3.0,2.0,1,1,2,2,1,1.0,23000.0,1
7937801,3,3,1.0,1.0,1,1,2,1,1,,,4
7937814,2,3,9.0,2.0,1,1,2,2,1,1.0,36000.0,4
7937817,2,2,1.0,2.0,1,1,2,2,3,2.0,,4
7937833,2,3,8.0,2.0,2,1,2,1,1,1.0,16000.0,1
7937843,2,2,1.0,1.0,4,1,2,1,4,,,4
7937846,2,2,2.0,2.0,1,1,2,3,1,1.0,25670.0,1
7937851,3,3,2.0,1.0,1,1,2,1,1,,,4
7937853,3,2,2.0,2.0,2,1,2,3,1,1.0,100000.0,1
7937860,3,3,9.0,2.0,1,1,2,2,1,,,4
7937862,2,2,9.0,2.0,4,1,2,1,4,,,4
7937867,3,3,9.0,2.0,1,1,2,1,1,,,4
7937868,2,2,4.0,2.0,2,1,1,1,1,2.0,,1
7937870,3,1,,2.0,1,1,2,3,1,1.0,42000.0,1
7937892,3,3,10.0,2.0,1,1,2,3,1,1.0,70000.0,1
7937893,3,3,3.0,2.0,2,1,2,1,1,1.0,41000.0,1
7937896,2,2,4.0,2.0,2,1,2,1,1,1.0,10000.0,4
7937899,3,3,8.0,2.0,2,1,2,1,1,1.0,35000.0,1
7937907,2,2,4.0,2.0,2,1,2,2,1,1.0,46000.0,1
7937910,3,3,8.0,2.0,2,1,2,1,1,1.0,20000.0,1
7937918,2,2,4.0,2.0,2,1,2,2,1,1.0,70000.0,1
7937925,3,3,1.0,1.0,1,1,2,1,3,,,4
7937928,2,2,4.0,2.0,2,1,2,2,1,1.0,40000.0,1
7937932,2,2,4.0,2.0,1,1,2,1,1,1.0,28000.0,1
7937941,2,1,,1.0,1,1,2,1,3,,,4
7937942,2,2,8.0,2.0,2,1,2,1,1,3.0,,3
7937953,3,3,9.0,1.0,4,2,2,1,4,,,4
7937959,3,3,9.0,2.0,2,1,2,1,1,1.0,20000.0,1
7937967,2,2,1.0,2.0,2,1,2,1,1,1.0,37000.0,2
7937986,2,2,9.0,1.0,4,1,2,1,4,,,4
7938030,3,3,9.0,2.0,4,1,2,2,4,,,4
7938046,3,3,9.0,2.0,2,1,2,1,1,1.0,13000.0,1
7938051,3,3,9.0,1.0,1,2,2,2,3,,,4
7938057,2,2,9.0,1.0,1,1,2,2,1,,,4
7938072,2,2,3.0,2.0,2,1,1,2,1,2.0,,2
7938075,3,2,2.0,2.0,3,1,2,1,1,1.0,25000.0,1
7938089,3,2,1.0,2.0,1,1,2,3,1,1.0,7000.0,1
7938111,3,3,1.0,1.0,1,1,2,1,3,,,4
7938113,3,3,10.0,2.0,1,2,2,1,3,1.0,62369.0,4
7938114,3,3,9.0,2.0,1,1,2,2,1,1.0,68000.0,3
7938116,3,3,10.0,2.0,1,2,2,1,1,1.0,2000.0,4
7938117,3,3,9.0,2.0,1,1,2,2,1,1.0,10000.0,1
7938118,3,2,1.0,1.0,1,1,2,1,1,,,4
7938121,3,3,9.0,2.0,2,1,2,2,1,1.0,50000.0,1
7938122,3,3,1.0,1.0,1,1,2,2,1,,,4
7938132,3,3,1.0,2.0,3,1,2,1,1,1.0,7800.0,3
7938133,3,2,3.0,2.0,1,1,2,1,1,1.0,14534.0,1
7938134,3,2,3.0,2.0,2,1,2,1,1,1.0,15670.0,1
7938135,3,3,2.0,2.0,2,1,2,2,1,1.0,42000.0,1
7938144,2,2,4.0,2.0,2,1,2,2,1,1.0,7000.0,1
7938145,2,2,2.0,2.0,1,1,2,1,1,,,3
7938146,2,2,2.0,2.0,2,1,2,2,1,1.0,41000.0,1
7938161,2,3,3.0,2.0,2,1,2,1,1,1.0,9000.0,2
7938170,2,2,9.0,1.0,3,2,2,1,3,,,4
7938172,2,2,1.0,1.0,1,1,2,2,3,,,4
7938174,2,2,9.0,1.0,4,1,2,1,4,,,4
7938176,2,3,9.0,2.0,4,1,2,1,4,,,4
7938183,3,3,1.0,1.0,1,1,2,2,4,,,4
7938188,2,1,,2.0,1,1,2,3,1,1.0,23000.0,1
7938194,2,2,1.0,1.0,1,1,2,1,3,,,4
7938199,3,3,9.0,1.0,3,1,2,1,1,,,4
7938201,2,2,9.0,2.0,4,2,2,1,4,,,4
7938211,2,3,9.0,1.0,1,2,2,1,3,,,4
7938223,3,3,2.0,2.0,1,1,2,2,1,1.0,34990.0,1
7938226,3,3,1.0,1.0,1,2,2,2,1,,,4
7938230,3,3,1.0,1.0,1,1,2,1,1,,,4
7938234,2,2,5.0,1.0,3,1,2,1,3,,,4
7938238,3,2,1.0,1.0,1,1,2,1,4,,,4
7938239,2,2,9.0,1.0,1,1,2,1,1,,,4
7938241,3,2,9.0,1.0,1,2,2,2,3,,,4
7938257,2,2,9.0,1.0,1,1,2,1,3,,,4
7938259,3,3,1.0,1.0,1,1,2,2,3,,,4
7938260,3,3,9.0,2.0,4,1,2,1,4,,,4
7938265,3,3,10.0,1.0,1,1,2,1,3,,,4
7938267,2,2,3.0,1.0,1,1,2,1,3,,,4
7938269,2,2,9.0,1.0,1,1,2,1,1,,,4
7938273,2,3,10.0,1.0,1,1,2,1,3,,,4
7938280,2,2,1.0,1.0,4,1,2,1,4,,,4
7938282,3,3,9.0,1.0,1,2,2,1,3,,,4
7938285,2,2,1.0,1.0,1,1,2,2,3,,,4
7938286,3,3,1.0,1.0,1,1,2,1,3,,,4
7938288,3,3,9.0,1.0,1,1,2,1,3,,,4
7938289,2,2,1.0,1.0,1,1,2,2,3,,,4
