DIRECTORIO,P6081_archivo1,P6083_archivo1,P6088_archivo1,P2061_archivo1,P1070_archivo3,P6160_archivo4,P8586_archivo4,P5010_archivo5,P791_archivo5,P3162_archivo5,P3163_archivo5,P5032_archivo5
7910813,3,2,9.0,1.0,1,1,2,2,1,,,4
7910815,2,2,2.0,2.0,1,1,2,1,1,1.0,10000.0,1
7910839,3,2,9.0,2.0,1,2,2,2,1,1.0,40000.0,1
7910852,2,2,1.0,2.0,1,1,2,2,1,1.0,62000.0,1
7910855,2,2,9.0,1.0,1,1,2,2,1,1.0,14300.0,1
7910863,2,2,9.0,2.0,1,2,2,3,1,1.0,30000.0,1
7910866,3,3,9.0,2.0,1,1,2,4,1,1.0,90000.0,3
7910867,1,2,8.0,2.0,1,1,2,2,1,1.0,18000.0,1
7910869,3,2,2.0,2.0,2,1,2,2,1,1.0,253000.0,3
7910912,2,2,2.0,2.0,2,1,2,2,2,2.0,,2
7910923,3,2,9.0,2.0,1,1,2,1,1,1.0,12000.0,1
7910938,3,3,9.0,1.0,1,1,2,1,3,,,3
7910948,2,1,,2.0,1,1,2,2,1,,,1
7910960,2,2,4.0,2.0,2,1,2,1,1,1.0,13000.0,1
7910989,2,2,1.0,2.0,1,1,2,1,1,1.0,12000.0,4
7910990,3,2,4.0,2.0,2,1,2,2,1,1.0,32800.0,1
7911008,2,2,6.0,2.0,2,1,2,1,1,1.0,26000.0,1
7911011,3,2,9.0,1.0,1,1,2,1,3,,,4
7911014,2,2,3.0,1.0,1,1,2,1,1,,,4
7911015,3,3,2.0,2.0,1,1,2,2,1,1.0,26000.0,1
7911022,3,2,1.0,2.0,1,1,2,2,1,1.0,20000.0,3
7911024,3,2,2.0,1.0,1,1,2,1,1,,,4
7911025,2,2,2.0,1.0,2,1,2,2,1,1.0,59000.0,4
7911026,2,2,1.0,2.0,2,1,2,2,1,1.0,45000.0,1
7911027,2,2,9.0,2.0,2,1,2,1,1,1.0,250000.0,1
7911030,2,2,2.0,2.0,2,1,2,2,1,1.0,160000.0,3
7911031,2,1,,2.0,1,1,2,2,1,1.0,55000.0,1
7911033,2,2,1.0,2.0,2,1,2,2,3,1.0,20000.0,2
7911037,3,3,9.0,1.0,1,1,2,2,1,1.0,46000.0,1
7911042,2,1,,2.0,1,1,2,2,2,,,3
